AccX,AccY,AccZ,RawTilt,CompX,CompY,CompZ
523,-282,880,34.5,80,358,-351
591,-270,833,37.93,37,366,-353
505,-296,890,33.34,91,368,-345
537,-277,873,34.71,68,358,-354
503,-312,888,33.68,92,372,-343
463,-271,923,30.18,111,345,-359
411,-296,940,28.32,133,349,-353
429,-271,937,28.45,125,345,-354
350,-312,962,25.96,162,364,-336
409,-267,951,27.19,136,336,-359
245,-210,1026,17.4,214,300,-353
267,-197,1018,17.99,210,295,-353
115,-150,1059,10.8,277,262,-340
96,-107,1060,7.65,281,237,-348
214,-199,1036,15.71,226,290,-350
190,-122,1046,12.1,241,258,-356
190,-155,1045,13.16,245,269,-351
138,-171,1052,11.72,263,272,-342
103,-92,1061,7.38,283,225,-346
149,-124,1054,10.34,263,246,-351
93,-132,1062,8.58,287,250,-338
66,-131,1059,7.81,290,226,-341
74,-67,1063,5.29,295,204,-346
57,-93,1063,5.82,298,205,-343
48,-50,1063,3.69,309,188,-343
21,-125,1067,6.7,311,222,-330
38,-53,1067,3.47,309,179,-347
25,-54,1067,3.15,316,184,-341
-1,-108,1064,5.77,320,209,-327
64,-178,1059,10.8,293,263,-329
124,-238,1042,14.39,265,291,-333
143,-162,1052,11.56,255,262,-347
134,-226,1047,14.1,263,292,-332
305,-291,986,23.12,182,346,-338
343,-299,969,25.17,167,341,-344
436,-277,934,28.96,124,344,-355
506,-286,896,32.99,88,368,-348
550,-278,862,35.58,60,369,-351
626,-273,811,40.3,20,371,-349
645,-285,790,41.72,12,381,-339
642,-283,786,41.69,11,379,-343
650,-312,772,43.2,8,401,-330
642,-271,793,41.25,11,369,-349
625,-287,803,40.52,21,385,-339
630,-295,796,41.9,14,391,-335
658,-266,786,42.3,5,370,-348
646,-298,776,42.46,6,394,-333
565,-307,843,37.33,57,378,-343
624,-300,800,40.84,19,387,-339
613,-288,813,39.77,26,373,-346
596,-293,824,38.85,34,382,-341
651,-262,792,41.48,9,366,-349
617,-295,808,40.19,23,385,-337
584,-279,836,37.74,48,369,-349
580,-271,848,37.6,46,365,-352
514,-299,882,33.99,82,369,-348
524,-272,882,33.8,78,358,-355
480,-286,911,31.52,106,363,-347
486,-264,916,31.15,101,341,-358
444,-254,943,28.49,122,333,-362
333,-244,990,22.59,173,314,-358
337,-211,998,21.68,175,308,-359
344,-244,988,23.8,164,318,-360
306,-181,1013,19.29,186,281,-368
274,-231,1017,19.37,200,315,-349
273,-166,1023,17.29,199,276,-367
174,-142,1051,11.99,252,265,-351
81,-181,1058,10.56,285,261,-336
108,-136,1059,9.24,276,246,-344
131,-98,1057,8.73,270,228,-355
84,-143,1061,8.8,284,243,-341
92,-132,1061,8.54,275,233,-349
178,-126,1050,11.69,253,248,-361
150,-125,1056,10.42,260,242,-354
169,-219,1039,14.84,246,292,-343
256,-207,1023,17.8,208,293,-358
275,-221,1015,19.1,199,295,-358
332,-228,998,21.94,173,315,-362
329,-236,1000,22,179,315,-358
289,-245,1003,20.64,198,314,-351
497,-268,907,31.92,91,352,-357
442,-254,946,28.31,125,335,-363
517,-274,887,33.44,81,349,-361
500,-280,900,32.53,91,354,-355
519,-282,885,33.73,81,361,-351
589,-289,829,38.35,37,381,-345
587,-298,833,38.31,37,386,-338
567,-284,851,36.71,54,368,-353
601,-299,820,39.29,34,385,-339
593,-302,827,38.79,37,385,-338
574,-293,842,37.41,48,379,-345
620,-262,815,39.53,20,362,-353
579,-288,839,37.6,49,373,-348
577,-289,841,37.49,50,369,-349
605,-282,824,38.99,33,377,-343
618,-293,811,40.8,22,383,-341
581,-290,840,37.69,48,376,-346
596,-275,835,38.15,39,364,-352
599,-282,823,38.81,35,378,-343
596,-264,836,37.91,40,357,-356
590,-256,849,37.15,40,358,-357
543,-302,862,35.79,64,377,-341
518,-271,891,33.27,81,351,-357
517,-281,888,33.54,81,363,-351
546,-256,873,34.66,63,351,-360
497,-262,907,31.77,97,345,-362
492,-275,906,31.89,94,358,-354
342,-225,996,22.32,174,309,-360
363,-243,981,23.97,161,325,-357
240,-241,1022,18.38,217,303,-349
225,-199,1037,16.1,228,294,-348
208,-169,1045,14.35,236,272,-356
156,-154,1056,11.68,251,255,-354
152,-174,1056,12.3,259,263,-348
100,-95,1060,7.33,285,227,-348
38,-92,1062,5.3,311,206,-338
17,-30,1073,1.8,324,174,-342
10,-15,1070,0.96,324,166,-339
11,-10,1073,0.74,322,168,-340
9,-14,1071,0.85,321,167,-339
8,-15,1071,0.9,322,169,-341
11,-17,1070,1.6,322,166,-339
9,-15,1068,0.9,323,166,-337
12,-15,1069,1.1,322,170,-338
13,-12,1072,0.9,323,167,-339
12,-15,1071,1.1,322,166,-340
15,-11,1073,0.95,321,166,-340
14,-14,1075,1.1,321,168,-341
19,-25,1071,1.65,317,170,-342
38,-65,1069,3.99,308,194,-340
92,-211,1052,12.29,277,279,-330
145,-152,1058,11.19,263,267,-346
268,-203,1023,18.16,206,289,-360
334,-266,986,23.37,172,327,-352
387,-288,959,26.71,148,347,-348
379,-270,966,25.73,152,335,-356
508,-271,902,32.56,87,352,-355
556,-296,856,36.32,58,373,-346
548,-301,856,36.16,59,380,-343
536,-290,874,34.9,69,372,-348
647,-286,789,41.84,9,383,-341
624,-273,814,39.9,22,365,-352
638,-281,799,41.7,17,379,-344
669,-267,775,42.86,0,371,-349
591,-302,831,38.57,39,386,-339
563,-270,862,35.92,57,352,-357
629,-279,808,40.4,16,377,-346
561,-298,847,36.87,56,374,-347
611,-269,824,38.99,33,369,-352
634,-261,810,40.19,17,372,-350
590,-294,832,38.37,38,378,-344
471,-281,919,30.85,108,354,-351
479,-280,915,31.22,103,351,-355
448,-274,936,29.32,117,344,-355
495,-257,916,31.34,96,345,-361
387,-260,970,25.68,148,335,-353
389,-291,957,26.91,139,346,-352
366,-235,984,23.81,151,314,-366
310,-186,1017,19.52,192,292,-364
144,-148,1059,10.97,262,253,-350
120,-184,1055,11.69,267,276,-341
135,-117,1059,9.5,268,241,-351
120,-102,1062,8.37,275,232,-348
76,-25,1068,4.26,302,176,-346
36,-39,1072,2.81,314,178,-340
9,-12,1075,0.79,321,166,-339
6,-6,1074,0.42,326,165,-336
9,-12,1073,0.79,322,167,-338
14,-20,1075,1.27,322,171,-338
12,-15,1076,1,323,168,-338
8,-9,1073,0.64,324,166,-340
12,-10,1078,0.79,321,165,-338
9,-10,1072,0.69,326,168,-340
9,-12,1073,0.79,324,166,-338
8,-11,1072,0.69,324,168,-339
8,-12,1072,0.74,327,166,-339
14,-15,1070,1.6,323,166,-338
30,-33,1075,2.33,313,175,-342
54,-139,1072,7.88,300,242,-334
67,-165,1065,9.45,291,255,-333
142,-261,1038,15.93,265,313,-322
359,-220,991,23.2,160,313,-365
234,-263,1018,19.5,226,321,-337
468,-288,918,30.92,107,359,-352
455,-275,930,29.76,112,354,-354
579,-326,832,38.58,42,402,-329
589,-307,829,38.68,39,387,-338
626,-315,799,41.19,16,397,-333
653,-315,773,43.14,1,403,-328
583,-273,849,37.15,48,360,-353
650,-271,790,41.68,4,377,-345
615,-300,815,39.98,25,388,-336
670,-279,769,43.29,-2,391,-336
576,-286,847,37.21,48,376,-347
595,-292,827,38.67,36,383,-344
592,-303,821,38.99,35,381,-339
624,-290,806,40.45,17,387,-336
543,-292,866,35.45,70,373,-345
578,-284,847,37.26,38,370,-351
531,-272,883,34.4,73,360,-352
502,-245,918,31.33,98,339,-363
400,-285,953,27.29,143,343,-350
416,-255,959,26.94,135,342,-356
360,-244,988,23.72,165,322,-356
381,-232,983,24.42,154,313,-366
284,-224,1017,19.52,196,307,-354
274,-172,1029,17.4,204,274,-368
245,-177,1035,16.24,221,286,-356
136,-178,1057,11.93,256,263,-351
164,-126,1057,10.99,258,249,-352
92,-72,1067,6.18,291,216,-346
67,-120,1067,7.28,298,235,-335
30,-31,1075,2.28,316,174,-341
21,-27,1070,1.81,317,171,-340
6,-9,1075,0.53,322,164,-340
9,-8,1072,0.64,326,162,-337
6,-11,1073,0.64,325,165,-338
10,-12,1079,0.79,323,167,-338
8,-11,1073,0.69,323,168,-341
10,-14,1077,0.9,323,167,-341
9,-11,1072,0.74,325,167,-339
5,-12,1075,0.69,325,165,-335
8,-9,1078,0.63,325,166,-334
6,-9,1073,0.53,323,165,-336
9,-11,1078,0.74,324,167,-337
11,-10,1075,0.74,323,164,-340
6,-12,1074,0.69,321,164,-339
17,-23,1074,1.48,321,169,-338
35,-42,1070,2.87,315,180,-343
