Xcal,Ycal,Zcal
-186.6920435,-147.7528723,1008.105168
-140.9924015,-87.56967932,1019.038016
-180.8892525,-110.4745633,1016.063397
-154.5702345,-143.9500013,1019.987826
-186.6765015,-164.9561803,1010.073
-150.6906655,-127.7053673,1019.008582
-141.9546605,-99.03952132,1018.037599
-128.3384605,-83.75823232,1019.035446
-164.3059945,-142.0340553,1014.046826
-164.3159955,-133.4283663,1018.018805
-133.1981025,-92.35693532,1018.039234
-176.0310115,-99.01079432,1014.088493
-143.9087985,-93.30030032,1021.01687
-156.5381095,-121.9649153,1019.0161
-149.7370905,-106.6780423,1019.02589
-143.8901135,-111.4634723,1018.028
-143.9065475,-94.25855032,1018.042526
-165.3289155,-92.32680632,1018.053952
-153.6326475,-105.7185613,1019.028481
-166.2619375,-135.3373913,1019.009262
-173.0862695,-124.8193023,1016.047724
-153.6066165,-133.4367953,1019.996257
-156.5522715,-106.6724583,1018.037833
-193.5208565,-136.2724983,1013.073869
-176.0081865,-122.9065193,1014.068318
-175.0162655,-142.0240123,1014.051732
-182.8114565,-137.2351423,1017.032872
-188.6543565,-135.3196203,1015.054804
-214.9364295,-139.1239343,1008.125365
-201.2846225,-161.1199763,1009.091739
-189.6298855,-131.4986193,1011.093762
-162.3404335,-160.1982463,1012.048243
-177.9454445,-134.3730273,1016.041884
-214.8867445,-187.8768623,1001.145955
-182.7914335,-155.4007353,1011.070465
-222.6651395,-196.4768613,995.1951858
-232.4318155,-167.7880193,1001.17093
-216.8472735,-175.4468383,1004.130875
-181.8113815,-162.0924513,1011.06437
-169.1360165,-179.3116633,1008.070509
-165.2386335,-182.1828023,1008.066304
-185.6973625,-170.6920673,1010.067712
-194.4781255,-151.5680773,1009.096687
-194.4493765,-181.1995833,1008.080491
-222.6619125,-201.2535853,998.1646878
-155.5489485,-137.2607063,1017.020384
-215.8904715,-159.1962373,1007.117685
-215.9055465,-142.9479513,1006.140225
-211.9794355,-174.4963813,1003.138273
-184.7382885,-156.3539313,1012.061729
-167.2388255,-130.5597543,1016.040206
-232.4728375,-127.6383593,1007.151898
-177.9413465,-138.1971503,1015.047477
-148.7251045,-145.8695583,1017.009999
-173.0744425,-135.3366493,1012.074131
-176.9603815,-145.8446953,1015.040575
-133.1720505,-121.0293843,1020.988561
-158.4909305,-115.2739003,1017.040283
-166.2505355,-146.8081463,1018.008399
-175.0153735,-142.0256263,1012.069374
-166.2829995,-110.4906793,1013.08317
-179.9138075,-110.4787043,1012.098235
-141.9322605,-123.8886543,1020.990154
-142.9534185,-73.23041832,1019.051013
-149.7393835,-103.8113623,1018.037132
-133.1442145,-149.7050613,1019.973172
-143.9079065,-93.30191432,1019.034512
-165.2933295,-128.6499223,1016.040928
-176.9805305,-121.9538123,1009.113676
-197.4205115,-131.4888943,1014.070867
-143.9147015,-88.51873432,1023.994442
-211.0271775,-154.4208503,1008.110669
-196.4363825,-141.0505183,1011.088814
