datetime,xa_raw,ya_raw,za_raw,xa_cal,ya_cal,za_cal,xm_raw,ym_raw,zm_raw,xm_cal,ym_cal,zm_cal
12/31/2014 12:45,2560,1793,16386,2218,1280,16384,1114,-367,-693,1114,-367,-693
12/31/2014 13:00,771,-254,16386,599,-596,16385,1139,-339,-706,1139,-339,-706
12/31/2014 13:15,1539,1026,16387,1367,1,16387,1118,-372,-689,1118,-372,-689
12/31/2014 13:30,2561,1026,16387,1793,599,16386,1115,-373,-686,1115,-373,-686
12/31/2014 13:45,2049,2304,16386,1793,1026,16385,1124,-303,-734,1124,-303,-734
12/31/2014 14:00,2306,2049,16386,1963,940,16385,1144,-338,-706,1144,-338,-706
12/31/2014 14:15,1794,1025,16387,1622,256,16387,1108,-370,-688,1108,-370,-688
12/31/2014 14:30,1794,256,16386,1453,-511,16385,1096,-376,-687,1096,-376,-687
12/31/2014 14:45,2050,1024,16387,1623,683,16386,1113,-375,-685,1113,-375,-685
12/31/2014 15:00,2048,2049,16387,1708,940,16386,1085,-386,-680,1085,-386,-680
12/31/2014 15:15,2050,1027,16387,1708,172,16385,1113,-397,-668,1113,-397,-668
12/31/2014 15:30,2304,1792,16386,2134,1196,16385,1120,-363,-694,1120,-363,-694
12/31/2014 15:45,2049,1024,16386,1623,0,16385,1155,-305,-726,1155,-305,-726
12/31/2014 16:00,2306,1537,16386,2220,1281,16385,1079,-390,-679,1079,-390,-679
12/31/2014 16:15,1793,512,16384,1281,-426,16299,1125,-358,-697,1125,-358,-697
12/31/2014 16:30,1793,2304,16387,1367,854,16386,1122,-357,-696,1122,-357,-696
12/31/2014 16:45,1282,1537,16387,684,2,16386,1138,-311,-724,1138,-311,-724
12/31/2014 17:00,2051,1280,16387,1794,854,16386,1100,-310,-733,1100,-310,-733
12/31/2014 17:15,1539,1537,16386,1452,1280,16385,1146,-312,-720,1146,-312,-720
12/31/2014 17:30,2305,1794,16386,1708,1366,16385,1122,-358,-694,1122,-358,-694
12/31/2014 17:45,2305,515,16387,2050,257,16386,1120,-355,-696,1120,-355,-696
12/31/2014 18:00,1538,3,16387,1281,-340,16386,1132,-405,-648,1132,-405,-648
12/31/2014 18:15,2560,3072,16384,1962,1963,16299,1117,-349,-701,1117,-349,-701
12/31/2014 18:30,2561,1537,16386,1537,598,16384,1117,-374,-680,1117,-374,-680
12/31/2014 18:45,1793,257,16386,1622,-83,16385,1104,-364,-688,1104,-364,-688
12/31/2014 19:00,1538,2051,16386,1111,-510,16300,1108,-351,-696,1108,-351,-696
12/31/2014 19:15,2817,2304,16385,2304,854,16384,1111,-357,-690,1111,-357,-690
12/31/2014 19:30,1536,2048,16387,1110,342,16386,1095,-397,-665,1095,-397,-665
12/31/2014 19:45,1281,1537,16386,939,-425,16385,1136,-323,-714,1136,-323,-714
12/31/2014 20:00,1793,2049,16387,1281,1024,16385,1125,-392,-662,1125,-392,-662
12/31/2014 20:15,1794,0,16640,1281,-339,16470,1122,-316,-721,1122,-316,-721
12/31/2014 20:30,2050,2304,16386,1879,1793,16385,1118,-346,-703,1118,-346,-703
12/31/2014 20:45,2306,2304,16387,2049,1280,16386,1126,-310,-723,1126,-310,-723
12/31/2014 21:00,2816,3330,16384,2647,2817,16214,1125,-404,-651,1125,-404,-651
12/31/2014 21:15,2562,2307,16387,1964,940,16300,1124,-344,-703,1124,-344,-703
12/31/2014 21:30,0,-768,16385,-170,-1620,16385,1099,-382,-678,1099,-382,-678
12/31/2014 21:45,2819,2819,16386,1964,1196,16300,1122,-353,-696,1122,-353,-696
12/31/2014 22:00,3073,1025,16387,1878,513,16385,1125,-345,-703,1125,-345,-703
12/31/2014 22:15,1793,1027,16387,1110,87,16386,1088,-299,-735,1088,-299,-735
12/31/2014 22:30,2050,1537,16386,1451,172,16385,1107,-375,-685,1107,-375,-685
12/31/2014 22:45,1281,512,16387,599,-170,16386,1129,-326,-714,1129,-326,-714
12/31/2014 23:00,1792,1536,16387,1537,342,16386,1120,-350,-698,1120,-350,-698
12/31/2014 23:15,2049,769,16387,1792,-84,16385,1089,-399,-665,1089,-399,-665
12/31/2014 23:30,1026,513,16640,1026,87,16471,1106,-381,-679,1106,-381,-679
12/31/2014 23:45,2048,-256,16387,1792,-510,16386,1145,-383,-672,1145,-383,-672
1/1/2015 0:00,2307,2560,16386,1965,1280,16386,1107,-309,-729,1107,-309,-729
1/1/2015 0:15,2819,2306,16386,1965,1196,16301,1124,-399,-658,1124,-399,-658
1/1/2015 0:30,2560,1027,16386,1963,599,16385,1145,-317,-714,1145,-317,-714
1/1/2015 0:45,2304,2304,16387,1367,1025,16300,1133,-346,-702,1133,-346,-702
1/1/2015 1:00,1795,2306,16387,1367,1367,16385,1133,-311,-726,1133,-311,-726
1/1/2015 1:15,3072,3074,16385,2731,1366,16299,1116,-323,-721,1116,-323,-721
1/1/2015 1:30,2305,1537,16387,1793,598,16301,1122,-345,-704,1122,-345,-704
1/1/2015 1:45,2304,1793,16387,1878,1367,16385,1051,-280,-751,1051,-280,-751
1/1/2015 2:00,2560,1281,16387,2133,768,16386,1086,-376,-687,1086,-376,-687
1/1/2015 2:15,2561,2816,16386,2049,1793,16300,1128,-322,-722,1128,-322,-722
1/1/2015 2:30,2816,3072,16386,2561,1964,16299,1133,-348,-702,1133,-348,-702
1/1/2015 2:45,2306,2049,16387,1879,1452,16385,1126,-358,-692,1126,-358,-692
1/1/2015 3:00,3072,2561,16384,2474,1451,16299,1136,-373,-679,1136,-373,-679
1/1/2015 3:15,2307,2050,16386,1538,1025,16385,1120,-335,-712,1120,-335,-712
1/1/2015 3:30,2560,1536,16386,2049,427,16385,1124,-337,-707,1124,-337,-707
1/1/2015 3:45,2307,1539,16387,1879,941,16386,1121,-359,-696,1121,-359,-696
1/1/2015 4:00,2051,2560,16385,1623,1622,16385,1130,-389,-670,1130,-389,-670
1/1/2015 4:15,1792,1026,16387,1536,600,16386,1127,-367,-686,1127,-367,-686
1/1/2015 4:30,2306,512,16387,1538,-169,16300,1116,-370,-690,1116,-370,-690
1/1/2015 4:45,3074,1283,16386,2050,1111,16300,1145,-310,-722,1145,-310,-722
1/1/2015 5:00,1795,513,16387,1623,256,16385,1142,-306,-723,1142,-306,-723
1/1/2015 5:15,3586,4097,16128,2221,1877,16043,1114,-396,-667,1114,-396,-667
1/1/2015 5:30,2816,3072,16386,2133,1707,16384,1125,-385,-677,1125,-385,-677
1/1/2015 5:45,2307,2048,16385,1965,1622,16385,1125,-375,-680,1125,-375,-680
1/1/2015 6:00,2563,1027,16385,2134,941,16385,1134,-345,-702,1134,-345,-702
1/1/2015 6:15,2818,3328,16385,2306,1793,16300,1120,-356,-701,1120,-356,-701
1/1/2015 6:30,2817,1282,16387,2219,428,16386,1118,-338,-712,1118,-338,-712
1/1/2015 6:45,1280,259,16641,854,87,16470,1139,-308,-725,1139,-308,-725
1/1/2015 7:00,1793,259,16387,1365,-424,16386,1139,-332,-711,1139,-332,-711
1/1/2015 7:15,1539,1024,16641,1537,768,16470,1102,-408,-657,1102,-408,-657
1/1/2015 7:30,1794,1,16387,1708,-255,16386,1124,-353,-698,1124,-353,-698
1/1/2015 7:45,1539,-256,16386,1197,-852,16386,1129,-334,-717,1129,-334,-717
1/1/2015 8:00,2307,2304,16386,1878,1281,16385,1101,-401,-666,1101,-401,-666
1/1/2015 8:15,2049,513,16387,1367,172,16386,1120,-348,-703,1120,-348,-703
1/1/2015 8:30,2306,2304,16384,2050,1025,16299,1026,-297,-744,1026,-297,-744
1/1/2015 8:45,1539,1283,16387,1282,513,16386,1105,-369,-697,1105,-369,-697
1/1/2015 9:00,2306,1281,16386,1794,428,16386,1141,-337,-713,1141,-337,-713
1/1/2015 9:15,1536,514,16386,1281,87,16386,1118,-326,-719,1118,-326,-719
1/1/2015 9:30,2305,1283,16387,1452,87,16386,1128,-354,-700,1128,-354,-700
1/1/2015 9:45,1795,257,16387,1708,2,16386,1093,-280,-749,1093,-280,-749
1/1/2015 10:00,1794,1537,16386,1367,172,16384,1155,-356,-694,1155,-356,-694
1/1/2015 10:15,1025,513,16387,770,2,16386,1115,-313,-731,1115,-313,-731
1/1/2015 10:30,2049,1537,16387,1708,598,16386,1131,-336,-711,1131,-336,-711
1/1/2015 10:45,2048,514,16386,1793,2,16385,1114,-349,-707,1114,-349,-707
1/1/2015 11:00,2306,1795,16387,2220,1537,16386,1123,-335,-713,1123,-335,-713
1/1/2015 11:15,2304,1792,16387,1793,341,16300,1126,-352,-705,1126,-352,-705
1/1/2015 11:30,2050,1537,16640,1623,258,16470,1089,-379,-686,1089,-379,-686
1/1/2015 11:45,2561,2817,16386,1964,1109,16385,1130,-337,-711,1130,-337,-711
1/1/2015 12:00,2560,771,16387,2220,429,16386,1102,-335,-720,1102,-335,-720
1/1/2015 12:15,1795,2561,16385,1537,768,16384,1121,-375,-685,1121,-375,-685
1/1/2015 12:30,2817,1280,16387,2220,598,16385,1121,-326,-720,1121,-326,-720
1/1/2015 12:45,2307,256,16386,1624,86,16386,1094,-383,-682,1094,-383,-682
1/1/2015 13:00,1792,771,16387,1452,599,16385,1125,-312,-730,1125,-312,-730
1/1/2015 13:15,1283,1536,16387,1281,598,16386,1126,-350,-700,1126,-350,-700
1/1/2015 13:30,2307,771,16386,1368,427,16385,1121,-367,-693,1121,-367,-693
1/1/2015 13:45,2306,1282,16386,2135,599,16300,1085,-327,-724,1085,-327,-724
1/1/2015 14:00,2560,1793,16387,1793,1111,16386,1102,-320,-727,1102,-320,-727
1/1/2015 14:15,2306,1793,16386,1794,685,16385,1145,-321,-716,1145,-321,-716
1/1/2015 14:30,3075,3841,16131,2562,3500,16045,1125,-346,-708,1125,-346,-708
1/1/2015 14:45,2307,1792,16387,1879,1195,16386,1143,-333,-710,1143,-333,-710
1/1/2015 15:00,1024,1281,16386,768,-680,16385,1122,-356,-701,1122,-356,-701
1/1/2015 15:15,1794,1795,16386,1537,172,16385,1090,-334,-718,1090,-334,-718
1/1/2015 15:30,2050,2049,16385,1366,1025,16384,1062,-291,-747,1062,-291,-747
1/1/2015 15:45,1537,2306,16387,1367,854,16386,1139,-303,-730,1139,-303,-730
1/1/2015 16:00,2305,2305,16387,1963,1451,16386,1131,-337,-709,1131,-337,-709
1/1/2015 16:15,2051,2307,16386,1964,1282,16385,1124,-336,-715,1124,-336,-715
1/1/2015 16:30,2049,1280,16387,1793,343,16386,1081,-386,-678,1081,-386,-678
1/1/2015 16:45,2050,1536,16386,1965,1026,16385,1122,-321,-719,1122,-321,-719
1/1/2015 17:00,2305,1538,16386,1538,940,16385,1146,-310,-722,1146,-310,-722
1/1/2015 17:15,2817,3073,16387,2390,1964,16301,1106,-359,-698,1106,-359,-698
1/1/2015 17:30,2051,1539,16385,2049,770,16300,1114,-359,-694,1114,-359,-694
1/1/2015 17:45,2306,771,16387,1879,685,16386,1109,-293,-737,1109,-293,-737
1/1/2015 18:00,2307,2048,16385,2050,1366,16385,1110,-344,-708,1110,-344,-708
1/1/2015 18:15,2305,769,16387,1964,-339,16300,1089,-288,-744,1089,-288,-744
1/1/2015 18:30,2050,2050,16385,1964,1622,16384,1113,-334,-719,1113,-334,-719
1/1/2015 18:45,2048,771,16387,1708,428,16386,1109,-349,-703,1109,-349,-703
1/1/2015 19:00,1538,512,16387,1196,-84,16385,1118,-336,-712,1118,-336,-712
1/1/2015 19:15,2562,2304,16385,2220,1792,16300,1137,-326,-712,1137,-326,-712
1/1/2015 19:30,2304,2561,16386,2049,2389,16215,1104,-370,-685,1104,-370,-685
1/1/2015 19:45,2816,2307,16385,2646,1453,16384,1074,-325,-722,1074,-325,-722
1/1/2015 20:00,2561,2306,16386,2219,1622,16300,1131,-289,-737,1131,-289,-737
1/1/2015 20:15,2306,2816,16385,1451,1964,16300,1129,-321,-719,1129,-321,-719
1/1/2015 20:30,2560,2048,16385,1109,-84,16300,1127,-297,-730,1127,-297,-730
1/1/2015 20:45,2816,2816,16387,2220,1280,16386,1119,-310,-727,1119,-310,-727
1/1/2015 21:00,3584,2817,16385,2901,1366,16215,1118,-343,-709,1118,-343,-709
1/1/2015 21:15,2563,2050,16385,2392,941,16384,1110,-337,-711,1110,-337,-711
1/1/2015 21:30,1795,1280,16385,1538,257,16384,1118,-332,-710,1118,-332,-710
1/1/2015 21:45,2819,1538,16386,1879,855,16385,1099,-367,-693,1099,-367,-693
1/1/2015 22:00,3075,2819,16386,2988,1965,16215,1121,-307,-726,1121,-307,-726
1/1/2015 22:15,2307,2048,16386,1538,1707,16385,1103,-377,-685,1103,-377,-685
1/1/2015 22:30,3329,2563,16386,2561,1708,16299,1111,-373,-682,1111,-373,-682
1/1/2015 22:45,1024,1283,16386,854,599,16385,992,-284,-746,992,-284,-746
1/1/2015 23:00,1538,-253,16386,1111,-340,16385,1123,-349,-702,1123,-349,-702
1/1/2015 23:15,3331,3587,16386,2392,2646,16214,1099,-366,-693,1099,-366,-693
1/1/2015 23:30,2050,1794,16386,1708,941,16385,1117,-369,-687,1117,-369,-687
1/1/2015 23:45,2561,3585,16387,1878,2135,16130,1096,-434,-629,1096,-434,-629
1/2/2015 0:00,2305,1539,16385,1964,599,16299,1109,-320,-723,1109,-320,-723
1/2/2015 0:15,3072,1027,16387,1878,257,16299,1134,-328,-712,1134,-328,-712
1/2/2015 0:30,4352,3585,16385,2475,2476,16213,1045,-293,-748,1045,-293,-748
1/2/2015 0:45,2306,4352,16384,1707,1025,16213,1130,-320,-718,1130,-320,-718
1/2/2015 1:00,2561,2051,16386,2304,514,16385,1118,-339,-711,1118,-339,-711
1/2/2015 1:15,2562,3586,16384,2475,2305,16129,1099,-294,-740,1099,-294,-740
1/2/2015 1:30,2051,2562,16385,1366,1196,16300,1050,-304,-741,1050,-304,-741
1/2/2015 1:45,2050,1538,16386,1282,685,16385,1132,-332,-711,1132,-332,-711
1/2/2015 2:00,2050,1794,16385,1708,1282,16384,1095,-295,-741,1095,-295,-741
1/2/2015 2:15,2305,4354,16130,2219,3073,16129,1106,-339,-713,1106,-339,-713
1/2/2015 2:30,3075,3841,16384,2732,3158,16130,1036,-303,-740,1036,-303,-740
1/2/2015 2:45,2560,2306,16384,2048,1452,16384,1140,-322,-715,1140,-322,-715
1/2/2015 3:00,4096,3841,16384,3328,2219,16043,1115,-339,-715,1115,-339,-715
1/2/2015 3:15,3328,3587,16385,2476,1964,16129,1115,-333,-721,1115,-333,-721
1/2/2015 3:30,2817,4608,16386,2219,2988,16044,1142,-332,-710,1142,-332,-710
1/2/2015 3:45,4098,4098,16129,2817,3329,15872,1105,-344,-709,1105,-344,-709
1/2/2015 4:00,2562,2051,16387,2220,1452,16301,1097,-320,-727,1097,-320,-727
1/2/2015 4:15,1538,1794,16387,1197,684,16386,1104,-358,-700,1104,-358,-700
1/2/2015 4:30,1282,1027,16387,1026,685,16385,1129,-320,-723,1129,-320,-723
1/2/2015 4:45,3585,4098,16129,2646,2475,15958,1091,-384,-683,1091,-384,-683
1/2/2015 5:00,2305,3328,16384,1878,768,16214,1087,-346,-710,1087,-346,-710
1/2/2015 5:15,4611,4610,16385,3244,2391,16129,1139,-392,-666,1139,-392,-666
1/2/2015 5:30,2560,2816,16386,1537,1367,16385,1135,-337,-710,1135,-337,-710
1/2/2015 5:45,2563,2048,16643,2220,1366,16385,1130,-312,-725,1130,-312,-725
1/2/2015 6:00,2817,1795,16385,1878,1196,16384,1144,-319,-719,1144,-319,-719
1/2/2015 6:15,3331,3841,16385,2817,3073,16215,1124,-326,-720,1124,-326,-720
1/2/2015 6:30,1794,2050,16387,1538,1026,16386,1120,-309,-725,1120,-309,-725
1/2/2015 6:45,3587,2817,16384,2732,1877,16128,1087,-299,-744,1087,-299,-744
1/2/2015 7:00,2816,2817,16385,2049,1708,16299,1105,-413,-652,1105,-413,-652
1/2/2015 7:15,3073,1792,16387,1623,940,16300,1121,-290,-742,1121,-290,-742
1/2/2015 7:30,2307,1536,16386,1794,854,16385,1097,-388,-679,1097,-388,-679
1/2/2015 7:45,2048,770,16387,1707,172,16385,1115,-326,-719,1115,-326,-719
1/2/2015 8:00,2304,2304,16385,1792,1622,16299,1109,-342,-710,1109,-342,-710
1/2/2015 8:15,3074,3074,16385,2134,1964,16384,1176,-415,-626,1176,-415,-626
1/2/2015 8:30,2307,3329,16387,2049,2732,16215,1114,-315,-726,1114,-315,-726
1/2/2015 8:45,1027,0,16387,344,-424,16385,1047,-299,-743,1047,-299,-743
1/2/2015 9:00,3073,3328,16384,2476,2219,16213,1131,-358,-695,1131,-358,-695
1/2/2015 9:15,2563,2305,16386,1879,1026,16301,1104,-375,-692,1104,-375,-692
1/2/2015 9:30,3841,5377,16386,2561,3330,16044,1114,-286,-747,1114,-286,-747
1/2/2015 9:45,3074,4096,16384,2134,3073,16214,1094,-390,-677,1094,-390,-677
1/2/2015 10:00,2562,3841,16385,2390,2816,16214,1029,-267,-762,1029,-267,-762
1/2/2015 10:15,3331,3584,16128,3159,3244,15959,1106,-369,-693,1106,-369,-693
1/2/2015 10:30,2816,3075,16386,2560,2476,16299,1158,-340,-705,1158,-340,-705
1/2/2015 10:45,2563,1281,16386,1879,683,16385,1118,-400,-660,1118,-400,-660
1/2/2015 11:00,768,-511,16385,171,-852,16385,1137,-274,-748,1137,-274,-748
1/2/2015 11:15,3584,3328,16131,3243,2817,15960,1000,-304,-739,1000,-304,-739
1/2/2015 11:30,2562,2307,16385,1965,1452,16384,1018,-283,-754,1018,-283,-754
