xa,ya,za,xm,ym,zm
-87.43913645,-93.34841232,1026.938076,26770.47692,10498.87387,-27513.94522
-201.3078725,-138.1776593,1012.084644,29282.31394,12932.5013,-23247.71875
-202.2815335,-138.1767463,1012.08509,29198.04779,12932.09494,-23519.49392
-146.7818805,-142.0472613,1018.003514,28282.86731,12361.63405,-24792.1113
-121.5122815,-97.14219432,1023.976921,27438.50359,10906.12034,-26333.8372
-153.5828995,-157.3341343,1017.993724,28133.86106,13326.17512,-24252.91151
-159.4485615,-134.3855323,1021.980484,28527.8093,12283.1791,-24699.30712
-128.3206045,-104.7824353,1023.973587,27607.74731,11471.37976,-26242.61202
-147.7751395,-122.9273473,1020.993637,28439.11952,11799.43402,-24970.49265
-171.1594795,-103.7920833,1017.055765,28928.41885,11481.30092,-24694.3603
-198.4001385,-123.8437703,1011.104232,29514.54381,12049.14365,-23695.89654
-134.1571135,-109.5577163,1021.98987,28015.29756,11233.17615,-26057.69822
-180.8450245,-154.4467323,1011.07038,29193.75093,12851.97971,-23880.70544
-158.4954535,-112.4031853,1021.00742,28195.22005,11797.1119,-24882.54365
-163.3975605,-76.07873232,1019.057958,28511.2582,11156.16088,-25330.22344
-195.5101765,-92.30253832,1013.111883,28938.02925,12044.64457,-24243.41097
-166.2355025,-161.1480023,1015.022757,28381.47275,13247.38926,-23889.12499
-178.9405925,-110.4788103,1013.088968,29254.52527,11161.69328,-24419.81359
-156.5230765,-136.3047713,1016.030458,28285.23176,12522.63665,-24701.98039
-215.9196665,-129.5639243,1009.12506,30180.05342,12376.05428,-22696.34515
-190.5570255,-178.3365553,1007.089949,28965.81792,13815.45259,-23071.31613
-183.7874315,-133.4133343,1014.063009,29108.62073,12367.79341,-23790.58118
-192.5357935,-147.7441663,1012.07256,28954.73297,13090.99603,-23522.06892
-204.1742015,-189.7993703,1000.148256,29141.44355,14299.27311,-22257.37309
-182.7713475,-176.4289733,1011.052711,29121.0276,13334.02964,-23430.45065
-221.7064695,-184.0463483,1002.143484,30109.26251,12777.21683,-21975.00974
-217.8304895,-166.8410433,1007.112121,29705.83065,13660.09269,-22341.36463
-174.0430715,-141.0699033,1013.060914,28618.58413,12605.37005,-24066.61525
-211.0358405,-145.8175823,1009.109111,29448.02392,13014.31168,-23065.57649
-190.5843525,-152.5243303,1013.058812,28792.12471,13250.7447,-23614.17855
-142.9091065,-121.0194473,1021.9842,28193.28763,11877.99927,-25153.62427
-139.0286245,-105.7306423,1021.004149,28257.74833,10590.49511,-25693.22379
-156.5225675,-139.1682233,1020.983932,28044.43401,12761.87358,-24523.99877
-173.1063345,-104.7452793,1018.047029,28926.20703,11239.63156,-24694.06548
-123.4824285,-73.24464332,1023.997988,27507.54056,10021.28814,-26783.60063
-189.6408205,-120.9828863,1013.084997,29190.95446,12449.08713,-23789.88663
-178.9204645,-133.4154783,1017.034316,29105.95104,12368.12432,-24061.56352
-140.0219465,-83.74808332,1018.049619,28410.89882,9786.736026,-25961.63777
-164.3620915,-85.63610932,1019.050334,28753.70897,10513.47984,-24965.74901
-143.9224725,-79.91708032,1023.010526,28497.22416,10109.4785,-25780.58314
-121.5346605,-73.24727632,1023.005917,27913.03161,9460.748408,-26507.96628
-103.0405375,-69.43807932,1026.965387,27498.38803,9215.944212,-26963.2728
-115.6885545,-78.98530732,1025.971936,27750.85538,9862.387054,-26781.02563
-132.2025295,-115.2977443,1018.01942,27856.55414,11231.15007,-25607.64661
-154.6086015,-102.8509683,1018.040169,28429.66174,11155.42361,-25331.01626
-132.2294315,-88.53211132,1021.015553,28089.08926,10186.4589,-25874.97296
-111.7939105,-78.98895932,1025.970152,27751.74527,9862.276748,-26690.69818
-105.9428355,-87.59851232,1023.977855,27587.07782,9699.689293,-26692.08727
-112.7730495,-73.25307232,1025.97544,28151.61755,8979.842111,-26685.65309
-96.21945345,-74.22522932,1024.975872,27416.05431,9134.650484,-26963.96734
-112.7917345,-55.08990032,1028.96431,27902.40455,8494.291566,-26687.44191
